,Item,Form,match_count,scorer,threshold,name,score,nutrition_index
122,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Salami, turkey, cooked",100.0,19
123,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Broccoli raab, cooked",100.0,47
124,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Ground turkey, cooked",100.0,60
125,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Salami, beef, cooked",100.0,148
126,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Rice noodles, cooked",100.0,159
127,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Guava sauce, cooked",100.0,252
128,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Carrots, raw, baby",100.0,277
129,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Plantains, cooked",100.0,357
130,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Wild rice, cooked",100.0,390
131,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Couscous, cooked",100.0,411
132,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Oat bran, cooked",100.0,433
133,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Quinoa, cooked",100.0,506
134,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Bulgur, cooked",100.0,513
135,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Tempeh, cooked",100.0,514
136,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Millet, cooked",100.0,516
137,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Spelt, cooked",100.0,562
138,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Carrots, raw",100.0,584
139,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Teff, cooked",100.0,604
140,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Egg, poached, cooked, whole",100.0,689
141,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Salami, beef and pork, cooked",100.0,698
142,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Crackers, whole grain, cheese",100.0,707
143,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Dove, cooked (includes squab)",100.0,712
144,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Turkey, raw, meat only, whole",100.0,741
145,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Egg, scrambled, cooked, whole",100.0,753
146,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Tree fern, with salt, cooked",100.0,786
147,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Turkey, raw, giblets, whole",100.0,902
148,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Quail, total edible, cooked",100.0,924
149,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Cheese, whole milk, ricotta",100.0,937
150,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Taro, without salt, cooked",100.0,1029
151,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Egg, omelet, cooked, whole",100.0,1039
152,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Bagels, whole grain white",100.0,1061
153,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Egg, fried, cooked, whole",100.0,1085
154,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Agave, cooked (Southwest)",100.0,1105
155,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Malabar spinach, cooked",100.0,1252
