match,score,index,Item,Scorer,Form,is_true_positive
"Horseradish, prepared",100.0,96,Radish,partial_ratio,Fresh,0
"Sauce, horseradish",100.0,320,Radish,partial_ratio,Fresh,0
"Radishes, raw",100.0,548,Radish,partial_ratio,Fresh,1
"Radish seeds, raw, sprouted",100.0,895,Radish,partial_ratio,Fresh,0
"Radishes, raw, white icicle",100.0,909,Radish,partial_ratio,Fresh,1
"Radishes, raw, oriental",100.0,1289,Radish,partial_ratio,Fresh,1
"Radishes, pickled, hawaiian style",100.0,1646,Radish,partial_ratio,Fresh,0
"Radishes, with salt, drained, boiled, cooked, oriental",100.0,4761,Radish,partial_ratio,Fresh,0
"Radishes, without salt, drained, boiled, cooked, oriental",100.0,4985,Radish,partial_ratio,Fresh,0
"Fish, raw, swordfish",83.33333333333334,204,Radish,partial_ratio,Fresh,0
"Raisins, seedless",80.0,367,Radish,partial_ratio,Fresh,0
"Raisins, seeded",80.0,473,Radish,partial_ratio,Fresh,0
"Radicchio, raw",80.0,512,Radish,partial_ratio,Fresh,0
"Raisins, golden seedless",80.0,1196,Radish,partial_ratio,Fresh,0
"Peanuts, raw, spanish",72.72727272727273,92,Radish,partial_ratio,Fresh,0
"Fish, raw, butterfish",72.72727272727273,97,Radish,partial_ratio,Fresh,0
"Peanuts, without salt, oil-roasted, spanish",72.72727272727273,3013,Radish,partial_ratio,Fresh,0
"Peanuts, with salt, oil-roasted, spanish",72.72727272727273,3380,Radish,partial_ratio,Fresh,0
"PEPPERIDGE FARM, Parmesan, Baked Snack Crackers, Goldfish",72.72727272727273,4945,Radish,partial_ratio,Fresh,0
"PEPPERIDGE FARM, Original, Baked Snack Crackers, Goldfish",72.72727272727273,4946,Radish,partial_ratio,Fresh,0
"PEPPERIDGE FARM, Cheddar, Baked Snack Crackers, Goldfish",72.72727272727273,5073,Radish,partial_ratio,Fresh,0
"PEPPERIDGE FARM, Pizza, Baked Snack Crackers, Goldfish",72.72727272727273,5313,Radish,partial_ratio,Fresh,0
"PEPPERIDGE FARM, Explosive Pizza, Baked Snack Crackers, Goldfish",72.72727272727273,6758,Radish,partial_ratio,Fresh,0
"Cereals ready-to-eat, USDA Commodity Corn and Rice (includes all commodity brands)",72.72727272727273,6937,Radish,partial_ratio,Fresh,0
"Cereals ready-to-eat, USDA Commodity Rice Crisps (includes all commodity brands)",72.72727272727273,7030,Radish,partial_ratio,Fresh,0
"Horseradish, prepared",100.0,96,Radish,partial_token_ratio,Fresh,0
"Sauce, horseradish",100.0,320,Radish,partial_token_ratio,Fresh,0
"Radishes, raw",100.0,548,Radish,partial_token_ratio,Fresh,1
"Radish seeds, raw, sprouted",100.0,895,Radish,partial_token_ratio,Fresh,0
"Radishes, raw, white icicle",100.0,909,Radish,partial_token_ratio,Fresh,1
"Radishes, raw, oriental",100.0,1289,Radish,partial_token_ratio,Fresh,1
"Radishes, pickled, hawaiian style",100.0,1646,Radish,partial_token_ratio,Fresh,0
"Radishes, with salt, drained, boiled, cooked, oriental",100.0,4761,Radish,partial_token_ratio,Fresh,0
"Radishes, without salt, drained, boiled, cooked, oriental",100.0,4985,Radish,partial_token_ratio,Fresh,0
"Fish, raw, swordfish",83.33333333333334,204,Radish,partial_token_ratio,Fresh,0
"Raisins, seedless",80.0,367,Radish,partial_token_ratio,Fresh,0
"Raisins, seeded",80.0,473,Radish,partial_token_ratio,Fresh,0
"Radicchio, raw",80.0,512,Radish,partial_token_ratio,Fresh,0
"Side dishes, potato salad",80.0,1137,Radish,partial_token_ratio,Fresh,0
"Gourd, raw, dishcloth (towelgourd)",80.0,1492,Radish,partial_token_ratio,Fresh,0
"Peanuts, raw, spanish",72.72727272727273,92,Radish,partial_token_ratio,Fresh,0
"Fish, raw, spanish, mackerel",72.72727272727273,795,Radish,partial_token_ratio,Fresh,0
"Seaweed, raw, irishmoss",72.72727272727273,1256,Radish,partial_token_ratio,Fresh,0
"Restaurant, spanish rice, Mexican",72.72727272727273,1529,Radish,partial_token_ratio,Fresh,0
"Veal, braised, cooked, separable lean only, loin",72.72727272727273,3564,Radish,partial_token_ratio,Fresh,0
"Veal, braised, cooked, separable lean only, rib",72.72727272727273,3646,Radish,partial_token_ratio,Fresh,0
"Veal, braised, cooked, separable lean only, sirloin",72.72727272727273,4368,Radish,partial_token_ratio,Fresh,0
"Lamb, braised, cooked, ground lamb, imported, New Zealand",72.72727272727273,4994,Radish,partial_token_ratio,Fresh,0
"Pork, braised, cooked, separable lean only, whole, loin, fresh",72.72727272727273,5662,Radish,partial_token_ratio,Fresh,0
"Veal, braised, cooked, separable lean only, leg (top round)",72.72727272727273,6063,Radish,partial_token_ratio,Fresh,0
"Game meat, braised, cooked, separable lean only, shoulder clod, deer",72.72727272727273,6130,Radish,partial_token_ratio,Fresh,0
