,Item,Form,name
0,Apples,Fresh,"Apples, with skin, gala, raw"
1,Apples,Fresh,"Apples, with skin, fuji, raw"
2,Apples,Fresh,"Apples, without skin, raw"
3,Apples,Fresh,"Apples, with skin, raw"
4,Apples,Fresh,"Apples, with skin, red delicious, raw"
5,Apples,Fresh,"Apples, with skin, granny smith, raw"
6,Apples,Fresh,"Apples, with skin, golden delicious, raw"
7,"Apples, applesauce",Canned,"Applesauce, with salt, sweetened, canned"
8,"Apples, applesauce",Canned,"Applesauce, with added ascorbic acid, unsweetened, canned"
9,Apricots,Fresh,"Apricots, raw"
10,"Apricots, packed in juice",Canned,"Apricots, solids and liquids, with skin, juice pack, canned"
11,Apricots,Dried,"Apricots, stewed, sulfured, dehydrated (low-moisture)"
12,Apricots,Dried,"Apricots, uncooked, sulfured, dehydrated (low-moisture)"
13,Bananas,Fresh,"Bananas, raw"
14,Blackberries,Fresh,"Blackberries, raw"
15,Blackberries,Fresh,"Blackberries, raw (Alaska Native), wild"
16,Blackberries,Frozen,"Blackberries, unsweetened, frozen"
17,Blueberries,Fresh,"Blueberries, raw"
18,Blueberries,Fresh,"Blueberries, raw (Alaska Native), wild"
19,Blueberries,Frozen,"Blueberries, frozen, wild"
20,Blueberries,Frozen,"Blueberries, unsweetened, frozen"
21,Blueberries,Frozen,"Blueberries, sweetened, frozen"
22,Blueberries,Frozen,"Blueberries, frozen (Alaska Native), wild"
23,Cantaloupe,Fresh,"Melons, raw, cantaloupe"
24,Cherries,Fresh,"Cherries, raw, sweet"
25,Cherries,Fresh,"Cherries, raw, red, sour"
26,"Cherries, packed in syrup or water",Canned,"Cherries, drained, water pack, canned, sour"
27,"Cherries, packed in syrup or water",Canned,"Cherries, solids and liquids, water pack, canned, sweet"
28,"Cherries, packed in syrup or water",Canned,"Cherries, solids and liquids, juice pack, canned, sweet"
29,"Cherries, packed in syrup or water",Canned,"Cherries, drained, heavy syrup, pitted, canned, sweet"
