Item,Form,RetailPrice,RetailPriceUnit,PricePer100Grams
Apples,Fresh,1.5193,per pound,0.334948292784447
"Apples, applesauce",Canned,1.066,per pound,0.23501275594564638
Apricots,Fresh,2.9665,per pound,0.6540012575166603
"Apricots, packed in juice",Canned,1.6905,per pound,0.3726914295742168
"Apricots, packed in syrup or water",Canned,2.06,per pound,0.45415223006381944
Apricots,Dried,6.6188,per pound,1.4591955244400039
Bananas,Fresh,0.5249,per pound,0.11572063376723243
"Berries, mixed",Frozen,3.5585,per pound,0.7845149080981075
Blackberries,Fresh,6.0172,per pound,1.3265654362815602
Blackberries,Frozen,3.6362,per pound,0.8016448247369224
Blueberries,Fresh,4.1739,per pound,0.9201873752734834
Blueberries,Frozen,3.3898,per pound,0.7473229269273471
Cantaloupe,Fresh,0.5767,per pound,0.12714057819310906
Cherries,Fresh,3.4269,per pound,0.7555020763134479
"Cherries, packed in syrup or water",Canned,4.5257,per pound,0.9977459939804987
Clementines,Fresh,1.3847,per pound,0.30527407425697606
Cranberries,Dried,4.6513,per pound,1.0254360522795356
Dates,Dried,5.5713,per pound,1.2282613200750276
Figs,Dried,6.8371,per pound,1.5073224330919126
"Fruit cocktail, packed in juice",Canned,1.7198,per pound,0.37915097342900805
"Fruit cocktail, packed in syrup or water",Canned,1.5932,per pound,0.3512404528823675
Grapefruit,Fresh,1.1695,per pound,0.25783059857263924
Grapes,Fresh,1.8398,per pound,0.40560644314146355
Grapes (raisins),Dried,3.7801,per pound,0.8333693421671087
Honeydew,Fresh,0.9056,per pound,0.1996506114299975
Kiwi,Fresh,2.1849,per pound,0.4816879647895335
Mangoes,Fresh,1.1513,per pound,0.25381818566625014
Mangoes,Dried,10.5527,per pound,2.3264719602885764
Nectarines,Fresh,1.9062,per pound,0.42024513638235556
Oranges,Fresh,1.2131,per pound,0.26744275256816474
Papaya,Fresh,1.2904,per pound,0.28448448430793816
Papaya,Dried,5.5089,per pound,1.214504475824551
Peaches,Fresh,1.7167,per pound,0.37846754046143627
"Peaches, packed in juice",Canned,2.0237,per pound,0.44614945047580157
"Peaches, packed in syrup or water",Canned,1.8117,per pound,0.39941145398379696
Peaches,Frozen,3.3867,per pound,0.7466394939597754
Pears,Fresh,1.5865,per pound,0.3497633558234221
"Pears, packed in juice",Canned,1.9546,per pound,0.43091550916637933
"Pears, packed in syrup or water",Canned,1.897,per pound,0.4182168837044007
Pineapple,Fresh,0.5685,per pound,0.12533278776275794
"Pineapple, packed in juice",Canned,1.4344,per pound,0.3162310479628847
"Pineapple, packed in syrup or water",Canned,1.4067,per pound,0.3101242437042596
Pineapple,Dried,6.6492,per pound,1.4658975767671594
Plum,Fresh,2.0292,per pound,0.44736199283762246
Plum (prunes),Dried,5.7042,per pound,1.2575607527815722
Pomegranate,Fresh,2.235,per pound,0.49273312339448366
Raspberries,Fresh,6.6391,per pound,1.4636709080663608
Raspberries,Frozen,4.1877,per pound,0.923229754290416
Strawberries,Fresh,2.58,per pound,0.5687925988177933
Strawberries,Frozen,2.8189,per pound,0.6214610297703401
Watermelon,Fresh,0.3604,per pound,0.07945459403640802
Acorn squash,Fresh,1.1804,per pound,0.2602336370715206
Artichoke,Fresh,2.1913,per pound,0.4830989231741978
Artichoke,Canned,3.4119,per pound,0.752195142599391
Asparagus,Fresh,2.7576,per pound,0.6079466939922274
Asparagus,Canned,3.1269,per pound,0.6893634020323092
Asparagus,Frozen,6.7045,per pound,1.4780891390596491
Avocados,Fresh,2.2368,per pound,0.4931299554401705
Beets,Canned,1.2684,per pound,0.2796343148606546
Black beans,Canned,1.0281,per pound,0.22665723676146252
Black beans,Dried,1.3753,per pound,0.3032017291295004
Blackeye peas,Canned,1.0375,per pound,0.22872958188893822
Blackeye peas,Dried,1.7584,per pound,0.3876608161865146
Broccoli florets,Fresh,2.7486,per pound,0.6059625337637933
Broccoli heads,Fresh,2.3065,per pound,0.5084961740981551
Broccoli,Frozen,2.1543,per pound,0.47494182001285734
Brussels sprouts,Fresh,2.6895,per pound,0.5929332149304088
Brussels sprouts,Frozen,2.6214,per pound,0.5779197358685904
